Date,Ticker,Action,Open,Close,RSI,ADX,Volume,EMA_20,Market Cap,Sector,Corresponding ETF,SP,Percentage Change,Transaction Price,Duration
2021-01-28,AAOI,Buy,12.010000228881836,11.300000190734863,79.90870983343328,30.77807664507418,1231900,10.281645717194845,408143872,Technology,XLK,1.0,,12.010000228881836,2021-01-28 00:00:00
2021-02-01,AAOI,Sell,11.460000038146973,11.0,60.19537504767683,35.008845243119495,758600,10.438762178612926,408143872,Technology,XLK,0.0,-8.409660363310998,11.0,4
2021-02-04,AAOI,Buy,10.75,11.390000343322754,57.28955993797437,36.49858331272438,666400,10.53911344040808,408143872,Technology,XLK,1.0,,10.75,2021-02-04 00:00:00
2021-02-09,AAOI,Sell,12.479999542236328,12.369999885559082,69.85025644078291,39.42605270194632,405200,10.879578782520802,408143872,Technology,XLK,1.0,15.069766377293787,12.369999885559082,5
2021-02-10,AAOI,Buy,12.390000343322754,11.75,70.05601690377422,40.65831128176938,612800,11.02152364947683,408143872,Technology,XLK,1.0,,12.390000343322754,2021-02-10 00:00:00
2021-02-12,AAOI,Sell,12.59000015258789,12.25,65.62142862720137,40.81781390402527,455300,11.211768759731475,408143872,Technology,XLK,1.0,-1.1299462424809634,12.25,2
2021-02-16,AAOI,Buy,12.300000190734863,12.829999923706055,64.09553191626361,41.09821754086272,746000,11.310647925471335,408143872,Technology,XLK,1.0,,12.300000190734863,2021-02-16 00:00:00
2021-02-17,AAOI,Sell,12.770000457763672,12.359999656677246,68.28335211018448,41.64654026021382,422800,11.455348115779403,408143872,Technology,XLK,1.0,0.48780052855265965,12.359999656677246,1
2021-02-18,AAOI,Buy,12.220000267028809,11.9399995803833,61.97506604224977,42.15569707103983,605600,11.54150540538872,408143872,Technology,XLK,1.0,,12.220000267028809,2021-02-18 00:00:00
2021-02-23,AAOI,Sell,11.40999984741211,11.399999618530273,53.63719581977999,41.95654815802279,784300,11.656834599171864,408143872,Technology,XLK,0.0,-6.710316125859721,11.399999618530273,5
2021-01-05,ACHC,Buy,50.02000045776367,50.5,72.4149874163786,53.32268973226739,638400,47.70161605759094,6391242240,Healthcare,XLV,1.0,,50.02000045776367,2021-01-05 00:00:00
2021-01-11,ACHC,Sell,51.72999954223633,51.619998931884766,71.40879198593902,55.22510586412063,330000,49.13902089166875,6391242240,Healthcare,XLV,1.0,3.198717431984261,51.619998931884766,6
2021-01-19,ACHC,Buy,51.58000183105469,50.9900016784668,60.686566287823155,50.51171151217757,507500,49.9816429040997,6391242240,Healthcare,XLV,1.0,,51.58000183105469,2021-01-19 00:00:00
2021-01-20,ACHC,Sell,51.220001220703125,52.11000061035156,61.8662777802103,48.71146475459293,499600,50.077677073087045,6391242240,Healthcare,XLV,1.0,1.027527647309581,52.11000061035156,1
2021-03-15,ABCB,Buy,55.849998474121094,55.70000076293945,79.2211973358589,30.670315592834584,501400,49.85564482436686,3451909376,Financial Services,XLF,1.0,,55.849998474121094,2021-03-15 00:00:00
2021-03-16,ABCB,Sell,55.08000183105469,55.849998474121094,79.62841460027936,32.165106017235466,428400,50.41225015184997,3451909376,Financial Services,XLF,1.0,0.0,55.849998474121094,1
2021-03-18,ABCB,Buy,56.0,55.119998931884766,77.92991868253837,34.417395451026195,595300,51.37392801188919,3451909376,Financial Services,XLF,1.0,,56.0,2021-03-18 00:00:00
2021-03-23,ABCB,Sell,53.529998779296875,51.9900016784668,64.2625100493055,36.742038667699596,609900,52.32725973900211,3451909376,Financial Services,XLF,0.0,-7.160711288452148,51.9900016784668,5
2021-01-05,AA,Buy,23.299999237060547,23.670000076293945,63.97424614834502,38.10972230496076,4297900,22.0003399628405,7949121536,Basic Materials,XLB,1.0,,23.299999237060547,2021-01-05 00:00:00
2021-01-15,AA,Sell,24.514999389648438,23.280000686645508,65.77478068522517,37.98643116489372,5866800,23.549332577623854,7949121536,Basic Materials,XLB,1.0,-0.08583069128701831,23.280000686645508,10
2021-03-10,AA,Buy,30.34000015258789,31.979999542236328,66.60702567275865,31.631820479458675,7927700,25.89796738996741,7949121536,Basic Materials,XLB,1.0,,30.34000015258789,2021-03-10 00:00:00
2021-03-23,AA,Sell,28.389999389648438,27.420000076293945,59.03814220649952,34.82670332261914,8474600,28.988190217217927,7949121536,Basic Materials,XLB,1.0,-9.6242586078065,27.420000076293945,13
2021-05-03,AA,Buy,37.18000030517578,37.61000061035156,62.09994333083252,30.608349908405575,4657700,34.294742538678506,7949121536,Basic Materials,XLB,1.0,,37.18000030517578,2021-05-03 00:00:00
2021-05-19,AA,Sell,38.34000015258789,36.16999816894531,60.338151620968794,38.84270850630596,15755900,38.308184161174005,7949121536,Basic Materials,XLB,1.0,-2.716519978322506,36.16999816894531,16
2021-01-05,ACIW,Buy,37.75,38.0,56.46870715874045,32.94576500280048,834700,37.68655429348822,3796894208,Technology,XLK,1.0,,37.75,2021-01-05 00:00:00
2021-01-07,ACIW,Sell,38.97999954223633,39.13999938964844,61.39240879515741,29.735746089286188,651900,37.80341529435394,3796894208,Technology,XLK,0.0,3.6821175884726824,39.13999938964844,2
2021-09-28,ACIC,Buy,3.6500000953674316,3.4600000381469727,54.066558076342055,33.9748562343191,569900,3.423453649932708,564376320,Financial Services,XLF,1.0,,3.6500000953674316,2021-09-28 00:00:00
2021-09-29,ACIC,Sell,3.549999952316284,3.5899999141693115,48.35703084026836,31.7163228633629,289400,3.4269342583340663,564376320,Financial Services,XLF,1.0,-1.6438405378200442,3.5899999141693115,1
2021-08-10,ACI,Buy,26.0,29.049999237060547,78.24955962505965,31.248550766531245,6468700,21.869228027959895,11917701120,Consumer Defensive,XLP,1.0,,26.0,2021-08-10 00:00:00
2021-08-26,ACI,Sell,28.459999084472656,28.030000686645508,69.42010030234633,53.590793789755494,1009100,26.785921658268613,11917701120,Consumer Defensive,XLP,0.0,7.807694948636569,28.030000686645508,16
2021-09-02,ACI,Buy,30.260000228881836,33.08000183105469,73.37187459130753,53.230934814546494,3443000,27.794765545751254,11917701120,Consumer Defensive,XLP,1.0,,30.260000228881836,2021-09-02 00:00:00
2021-09-08,ACI,Sell,33.5,32.029998779296875,82.06646365719634,57.05342868117153,1607300,29.22884753079343,11917701120,Consumer Defensive,XLP,0.0,5.849301179864677,32.029998779296875,6
2021-11-09,ACI,Buy,33.599998474121094,33.7599983215332,61.97221236472047,30.500995000978456,1633400,31.485941020208934,11917701120,Consumer Defensive,XLP,1.0,,33.599998474121094,2021-11-09 00:00:00
