Ticker,Date,RSI,ADX,MarketCap,AvgVol_10d,Sector
AAPL,2024-05-24,67.99118668752412,,2913172193280,49758620.0,Technology
MSFT,2024-05-24,68.19934431988777,,3197082271744,17052790.0,Technology
GOOGL,2024-05-24,62.76317504611363,,2170051100672,23077150.0,Communication Services
