Date,Open,High,Low,Close,Adj Close,Volume,ADX,RSI,EMA_20,EMA_50,Upper_BBand,Middle_BBand,Lower_BBand,MACD,MACD_Signal,MACD_Hist,ATR,CCI,Williams_%R,MFI,OBV,Ticker,Corresponding ETF,Sector,SP,Market Cap
2024-02-23,113.80999755859375,115.20999908447266,112.97000122070312,114.06999969482422,114.06999969482422,86600,40.59743225355186,70.26151502131155,107.07357837061855,100.60140045166015,115.32229957214602,106.29950103759765,97.27670250304928,3.6302701406201834,3.048348072736874,0.5819220678833092,3.3276331712425034,111.92260224783465,-7.034843913413138,86.58853322757797,1653900.0,PATK,XLY,Consumer Cyclical,1.0,2567211776
2024-02-26,113.75,116.08000183105469,113.58999633789062,115.0999984741211,115.0999984741211,195000,41.69358328288917,70.51830530618781,107.7399042110191,101.12958081413717,116.26810475377202,106.93050117492676,97.5928975960815,3.7358281592459406,3.1858440900386875,0.5499840692072531,3.249944934994434,106.65084928957766,-7.369096959881323,86.539490960234,1740500.0,PATK,XLY,Consumer Cyclical,1.0,2567211776
2024-02-27,116.44000244140625,117.58000183105469,115.43000030517578,116.36000061035156,116.36000061035156,184600,42.85979555062312,71.93317129042278,108.44086556940977,101.67744033021498,117.32038638240893,107.54900093078614,97.77761547916334,3.858121915101819,3.320299655051314,0.5378222600505049,3.195663546292265,116.69994393612426,-6.3022711550066965,90.90498612701639,1935500.0,PATK,XLY,Consumer Cyclical,1.0,2567211776
2024-02-28,115.2699966430664,117.98999786376953,115.2699966430664,117.4800033569336,117.4800033569336,189700,44.18405803039588,73.60214955202036,109.19506890664232,102.2532270078674,118.51064787341778,108.16450080871581,97.81835374401385,4.010481900897872,3.4583361042206255,0.5521457966772467,3.1445449613380743,140.8157577599819,-7.206150021923806,91.21375954966489,2120100.0,PATK,XLY,Consumer Cyclical,1.0,2567211776
2024-02-29,118.0,120.48999786376953,117.75,119.94000244140625,119.94000244140625,204100,45.4775433571616,75.02387236011879,109.98411028286054,102.8503554921445,119.60777868739203,108.95450096130371,98.30122323521539,4.173493711138946,3.6013676256042895,0.5721260855346562,3.114220408435578,133.75895959148247,-2.9411454125945755,91.38512972762436,2309800.0,PATK,XLY,Consumer Cyclical,1.0,2567211776
2024-03-01,119.7699966430664,122.81999969482422,118.13999938964844,122.29000091552734,122.29000091552734,235100,47.0339730991335,77.84612915428278,110.93229048843632,103.52053772544889,120.84696383648561,109.9320011138916,99.01703839129759,4.449887578195856,3.7710716161226028,0.6788159620732532,3.1067757011784605,158.39313758598706,-3.6496047345785736,91.22404674193547,2513900.0,PATK,XLY,Consumer Cyclical,1.0,2567211776
2024-03-04,122.1500015258789,123.58000183105469,120.62000274658203,120.91000366210938,120.91000366210938,170100,48.752623064760385,80.15328710286299,112.01397719577832,104.25659510545196,122.47186234593606,110.94950103759766,99.42713972925925,4.803188775925932,3.9774950480832687,0.8256937278426633,3.2191488871782687,157.8089140575856,-3.2277639366565034,91.38394683535938,2749000.0,PATK,XLY,Consumer Cyclical,1.0,2567211776
2024-03-05,119.55999755859375,120.83999633789062,117.72000122070312,118.30999755859375,118.30999755859375,196100,50.429972089434784,75.20056311456715,112.86121781161938,104.90966995081108,123.50388036521636,111.86200103759765,100.22012170997894,4.915169263607879,4.1650298911881904,0.7501393724196888,3.2006381869850107,137.8144714511925,-15.541316190436435,91.3910271430065,2578900.0,PATK,XLY,Consumer Cyclical,1.0,2567211776
2024-03-06,118.30999755859375,118.30999755859375,110.45999908447266,112.7300033569336,112.7300033569336,411300,50.27115667489348,66.82279639820108,113.38014921609313,105.43517299425353,123.5408785153955,112.73200073242188,101.92312294944826,4.739482044689552,4.279920321888463,0.4595617228010891,3.199878490872242,75.37105787754689,-31.8236873276073,91.81358029241453,2382800.0,PATK,XLY,Consumer Cyclical,0.0,2567211776
2024-03-07,114.12000274658203,116.12000274658203,112.33999633789062,112.58999633789062,112.58999633789062,347000,47.230235141429425,53.14005213075541,113.31823056283984,105.72124477318216,123.01270478930093,113.23450088500977,103.4562969807186,4.102696429225773,4.244475543355925,-0.1417791141301521,3.53202991824716,-30.34696163528094,-71.42854990296256,77.8818047463001,1971500.0,PATK,XLY,Consumer Cyclical,0.0,2567211776
2024-03-08,113.47000122070312,115.75,111.11000061035156,112.12000274658203,112.12000274658203,209600,44.406522288927086,52.847653712301,113.24887492236849,105.99060757964132,122.39471278496309,113.69100074768066,104.98728871039823,3.545867293890609,4.104753893462862,-0.5588865995722525,3.549742524707464,-41.14935898916069,-75.2224848325972,68.03677704420333,1624500.0,PATK,XLY,Consumer Cyclical,0.0,2567211776
2024-03-11,110.86000061035156,112.06999969482422,108.87000274658203,111.87000274658203,111.87000274658203,158000,41.39242336346185,51.816908439592794,113.1413632865793,106.23097601756056,121.912497720777,114.02450103759766,106.13650435441832,3.031704040473599,3.890143922865009,-0.8584398823914099,3.6276180150603907,-63.03387332459752,-78.43941550798398,61.25024463240894,1414900.0,PATK,XLY,Consumer Cyclical,0.0,2567211776
2024-03-12,112.33000183105469,112.33000183105469,108.7300033569336,109.1500015258789,109.1500015258789,288000,38.94147541361666,51.24437012350004,113.0202813303891,106.45211432065945,121.86453226645854,114.1100009918213,106.35546971718405,2.5743772289306577,3.626990584078139,-1.0526133551474812,3.6006452996989347,-111.63795284101286,-79.60570913177901,54.21496478356721,1256900.0,PATK,XLY,Consumer Cyclical,0.0,2567211776
2024-03-13,108.98999786376953,111.95999908447266,108.13999938964844,110.94999694824219,110.94999694824219,276300,36.579687624852966,45.370547208218085,112.65168325376908,106.55791381890334,121.96885943871261,113.94250106811523,105.91614269751786,1.9697549603559423,3.2955434593336994,-1.325788498977757,3.600599097871946,-125.26886302315891,-97.17172921143907,47.23972631658693,968900.0,PATK,XLY,Consumer Cyclical,0.0,2567211776
2024-03-14,111.44000244140625,111.61000061035156,108.56999969482422,110.44000244140625,110.44000244140625,191900,34.56620767637297,49.49613901462271,112.48961789133794,106.73015237299506,121.64836789655234,114.14100074768066,106.63363359880898,1.6171900832240453,2.9598727841117687,-1.3426827008877233,3.6162705690828227,-105.82131966638254,-81.80053682467022,49.653187277058635,1245200.0,PATK,XLY,Consumer Cyclical,0.0,2567211776
2024-03-15,110.44999694824219,113.5999984741211,110.44999694824219,112.76000213623047,112.76000213623047,1202200,32.69654772421298,48.38129106355558,112.29441641991588,106.87563668940335,121.58492813341091,114.19100074768066,106.79707336195041,1.2818512007865195,2.624268467446719,-1.3424172666601994,3.5751084509717175,-95.84121898980476,-85.1036095331839,45.512904760993365,1053300.0,PATK,XLY,Consumer Cyclical,0.0,2567211776
2024-03-18,113.73999786376953,115.31999969482422,111.75,113.66999816894531,113.66999816894531,190900,30.49425066903986,53.511094792510264,112.33875791670775,107.10639611869068,121.55622370144904,114.28350067138672,107.0107776413244,1.18958451697344,2.337331677352063,-1.1477471603786231,3.5454575639533696,-49.42762828457317,-70.07770714988793,58.12395241014309,2255500.0,PATK,XLY,Consumer Cyclical,0.0,2567211776
2024-03-19,112.73999786376953,115.13999938964844,112.73999786376953,113.94000244140625,113.94000244140625,139500,29.01662360267734,55.38401945158342,112.46554270263513,107.3637922775242,121.54879107054185,114.40700073242188,107.2652103943019,1.1763315619863306,2.1051316542789165,-0.9288000922925859,3.5472105733012875,-21.57966309567717,-64.18395139325372,58.139834827020124,2446400.0,PATK,XLY,Consumer Cyclical,0.0,2567211776
2024-03-20,113.98999786376953,115.12999725341797,111.88999938964844,114.04000091552734,114.04000091552734,189800,27.644541326769282,55.951070513198566,112.60596743966096,107.62168287218624,121.54694344140368,114.53350067138672,107.52005790136975,1.1740815071701007,1.9189216248571532,-0.7448401176870525,3.4652670699139745,-11.295207894911432,-62.435219335175454,57.592092558402875,2585900.0,PATK,XLY,Consumer Cyclical,0.0,2567211776
2024-03-21,115.19000244140625,117.80000305175781,115.12999725341797,116.54000091552734,116.54000091552734,178000,26.022743357799587,56.17323699681251,112.74254205641014,107.87338161898393,121.56002004947327,114.6300006866455,107.69998132381774,1.1669158837292173,1.768520476631566,-0.6016045929023488,3.4491764123322284,-9.726287231260649,-61.78756092643763,52.82476379842351,2775700.0,PATK,XLY,Consumer Cyclical,0.0,2567211776
2024-03-22,117.0,117.94999694824219,114.6500015258789,116.05999755859375,116.05999755859375,163000,25.402295883662195,61.41304113876478,113.10420480489749,108.21324904237778,121.73232876555463,114.76300086975098,107.79367297394734,1.3474338040108051,1.684303142107414,-0.3368693380966088,3.4713782497535313,78.99686936267862,-45.595853642145876,52.04825128925954,2953700.0,PATK,XLY,Consumer Cyclical,1.0,2567211776
2024-03-25,116.5,117.47000122070312,115.29000091552734,115.29000091552734,115.29000091552734,119600,24.619768031435008,59.93147989157419,113.3857088766781,108.52096467046468,121.84621899614004,114.86250076293945,107.87878252973886,1.4352189859688025,1.6344863108796917,-0.19926732491088917,3.459136619225656,99.09560436471999,-37.63779470796233,47.81985182968243,2790700.0,PATK,XLY,Consumer Cyclical,1.0,2567211776
2024-03-26,116.16999816894531,116.70999908447266,115.33000183105469,115.66000366210938,115.66000366210938,151400,23.89313502579548,57.53369344344149,113.56707002323516,108.78641707223184,121.85750226966319,114.87200088500977,107.88649950035635,1.4262165446261008,1.5928323576289736,-0.16661581300287276,3.367769739650665,109.62914607156237,-29.69515424583009,48.805644465630316,2671100.0,PATK,XLY,Consumer Cyclical,1.0,2567211776
