Date,Open,High,Low,Close,Adj Close,Volume,ADX,RSI,EMA_20,EMA_50,Upper_BBand,Middle_BBand,Lower_BBand,MACD,MACD_Signal,MACD_Hist,ATR,CCI,Williams_%R,MFI,OBV,Ticker,Corresponding ETF,Sector,SP,Market Cap
2024-03-08,14.460000038146973,14.890000343322754,14.069999694824219,14.699999809265137,14.699999809265137,9300,19.435082421074448,54.14015083397137,13.368483186597539,13.921866778206713,14.011313219919474,13.233999919891357,12.45668661986324,-0.16276941493557473,-0.24552750756194214,0.08275809262636741,0.6322590736941106,127.73534331944306,-26.406948032190424,68.23635150433093,67200.0,VHI,XLB,Basic Materials,1.0,550211328
2024-03-11,14.520000457763672,15.75,14.520000457763672,15.489999771118164,15.489999771118164,11500,19.531712935948274,61.62574915084163,13.495294293518262,13.952381799032533,14.27290926940224,13.283499908447265,12.29409054749229,-0.03888273122497843,-0.2041985522945494,0.16531582106957096,0.6635263290372838,211.7786515035317,-6.859223922692487,69.25471999918793,76500.0,VHI,XLB,Basic Materials,1.0,550211328
2024-03-12,15.5,16.3799991607666,15.5,15.890000343322754,15.890000343322754,7800,20.530035762358413,66.85605537378551,13.685266243765872,14.012680543035891,14.774115326258094,13.39449987411499,12.014884421971885,0.12164253338242581,-0.13903033515915433,0.2606728685415801,0.7039887014086441,225.63504106740143,-7.162540514737158,75.6047132027893,88000.0,VHI,XLB,Basic Materials,1.0,550211328
2024-03-13,16.139999389648438,16.139999389648438,15.079999923706055,15.09000015258789,15.09000015258789,4900,21.99108452510169,69.14890717295503,13.895240919914146,14.086300927360867,15.24275269076345,13.493999910354614,11.745247129945778,0.2779328286964873,-0.05563770238802601,0.3335705310845133,0.717275179140058,215.24719366890488,-11.5023216153007,82.79321201321903,95800.0,VHI,XLB,Basic Materials,1.0,550211328
2024-03-14,15.210000038146973,15.210000038146973,14.479999542236328,14.479999542236328,14.479999542236328,9100,22.59554142833711,60.1818222133883,14.009027513502122,14.125661681291339,15.45983695794497,13.604999923706055,11.75016288946714,0.33339748555120075,0.022169335199819343,0.3112281503513814,0.7417554853402241,128.26855292150262,-32.41203910927767,75.41099648558293,90900.0,VHI,XLB,Basic Materials,1.0,550211328
2024-03-15,14.050000190734863,15.0,14.050000190734863,14.760000228881836,14.760000228881836,14800,22.1963650685401,54.39006432979572,14.05388199242919,14.139557283681338,15.54023994873097,13.646499919891358,11.752759891051745,0.32439228214093774,0.08261392458804302,0.24177835755289473,0.7409158432381113,58.07250046241612,-50.264556405060425,67.13872754662195,81800.0,VHI,XLB,Basic Materials,1.0,550211328
2024-03-18,15.039999961853027,16.25,15.0,15.880000114440918,15.880000114440918,9300,21.209827023197715,56.461320559869485,14.121131348281823,14.163888379571553,15.666051257515162,13.72549991607666,11.78494857463816,0.3359763823109887,0.13328641613263217,0.20268996617835652,0.7558504122400417,40.53383598376498,-42.857128440292904,58.31503874723938,96600.0,VHI,XLB,Basic Materials,1.0,550211328
2024-03-19,15.880000114440918,16.34000015258789,15.880000114440918,16.270000457763672,16.270000457763672,5400,21.520416574389163,63.58491602998804,14.288642659344594,14.231186878978194,15.994195557322305,13.865999937057495,11.737804316792685,0.4305681738015146,0.19274276766640866,0.23782540613510592,0.8082896521599076,105.67927640465469,-13.227492269685055,60.74974964520814,105900.0,VHI,XLB,Basic Materials,1.0,550211328
2024-03-20,15.899999618530273,16.600000381469727,15.899999618530273,16.549999237060547,16.549999237060547,8700,21.88499847061492,65.6900319000438,14.477343402051174,14.311140352656055,16.35503007345496,14.034499979019165,11.71396988458337,0.5308829304332114,0.2603708002197692,0.2705121302134422,0.7834118225875552,117.24880597672055,-2.9100195377150557,61.13055081797698,111300.0,VHI,XLB,Basic Materials,1.0,550211328
2024-03-21,16.31999969482422,17.350000381469727,16.31999969482422,17.350000381469727,17.350000381469727,7700,22.447171879036652,67.15794661579397,14.67473919586159,14.39893874027976,16.68871905463001,14.237499952316284,11.786280850002559,0.6257632500124028,0.33344929017829594,0.2923139598341069,0.7774538897555479,112.18678712777387,-1.2500286102294922,61.584415876396626,120000.0,VHI,XLB,Basic Materials,1.0,550211328
