Date,Open,High,Low,Close,Adj Close,Volume,ADX,RSI,EMA_20,EMA_50,Upper_BBand,Middle_BBand,Lower_BBand,MACD,MACD_Signal,MACD_Hist,ATR,CCI,Williams_%R,MFI,OBV,Ticker,Corresponding ETF,Sector,SP,Market Cap
2024-03-08,40.25,40.63999938964844,39.45000076293945,39.70000076293945,39.70000076293945,77200,17.79702326610951,53.63773038069047,39.14192016327508,40.02883602748908,40.75014062081711,38.996500205993655,37.2428597911702,-0.41415109149363616,-0.5811164167912202,0.166965325297584,1.1154932801802862,131.5138955899527,-15.133486147663922,48.20226771341296,496800.0,FC,XLP,Consumer Defensive,1.0,490841984
2024-03-11,39.369998931884766,39.369998931884766,38.4900016784668,39.150001525878906,39.150001525878906,41300,17.01720371424205,52.24307020065335,39.19507069657645,40.015940526918506,40.789999772967896,39.01500015258789,37.24000053220788,-0.3211386868068331,-0.5291208707943428,0.20798218398750967,1.1208150906466217,133.03640547533982,-26.33049599617034,47.70025118921081,419600.0,FC,XLP,Consumer Defensive,1.0,490841984
2024-03-12,39.150001525878906,39.529998779296875,38.95000076293945,38.95000076293945,38.95000076293945,30900,16.26353193540621,48.96439638604681,39.19077839460525,39.98198213472087,40.648412491261155,38.96100025177002,37.27358801227888,-0.2884806030507079,-0.4809928172456158,0.19251221419490794,1.1271853759199097,36.402143755860585,-41.73663840727293,48.042977519253434,378300.0,FC,XLP,Consumer Defensive,1.0,490841984
2024-03-13,38.83000183105469,39.29999923706055,38.83000183105469,39.209999084472656,39.209999084472656,63700,15.396997871311273,47.78987833904932,39.167847191589466,39.94151227700395,40.34574781792554,38.87100028991699,37.39625276190844,-0.2755607338688435,-0.43990640057026137,0.16434566670141787,1.0881005645225892,43.94989634029577,-47.33890115338503,51.32880504151195,347400.0,FC,XLP,Consumer Defensive,1.0,490841984
2024-03-14,39.099998474121094,39.81999969482422,38.869998931884766,39.04999923706055,39.04999923706055,38300,14.711485823201233,49.486217750776355,39.17186165757834,39.912825485139976,40.369646984477015,38.88750019073486,37.40535339699271,-0.24155742912976308,-0.40023660628216173,0.15867917715239865,1.0439503389142513,34.79442603528436,-40.05603438143129,50.98632184799396,411100.0,FC,XLP,Consumer Defensive,1.0,490841984
2024-03-15,38.88999938964844,39.290000915527344,38.88999938964844,39.25,39.25,73200,13.813847434808931,48.44312269911611,39.160255712767125,39.87898916168588,40.343906382888285,38.87350006103516,37.40309373918203,-0.22492739268466977,-0.3651747635626633,0.14024737087799355,1.0372396549160514,42.67941102768471,-44.53782320746612,65.11049752345659,372800.0,FC,XLP,Consumer Defensive,1.0,490841984
2024-03-18,39.2400016784668,39.95000076293945,39.2400016784668,39.52000045776367,39.52000045776367,69300,12.980326074158935,49.86568557555782,39.16880278774168,39.85432292005114,40.26391538822712,38.845499992370605,37.42708459651409,-0.19338040990562888,-0.33081589283125645,0.13743548292562757,0.9917226456991124,28.190141920373158,-38.93556046135401,56.196394324145075,446000.0,FC,XLP,Consumer Defensive,1.0,490841984
2024-03-19,39.29999923706055,39.38999938964844,38.709999084472656,39.04999923706055,39.04999923706055,39100,12.902023785588975,51.79923949738367,39.20225018488664,39.841212235255554,40.205414691232264,38.828499984741214,37.451585278250164,-0.14492184944625564,-0.29363708415425627,0.14871523470800063,0.971599534182937,74.45030932134566,-31.37252178224381,56.57758235077351,515300.0,FC,XLP,Consumer Defensive,1.0,490841984
2024-03-20,39.290000915527344,40.459999084472656,39.0,40.369998931884766,40.369998931884766,67300,12.195950524312371,48.306651849434864,39.187750094617485,39.810184274542024,40.225113073036994,38.84650001525879,37.46788695748059,-0.14279718464731417,-0.26346910425286785,0.12067191960555368,0.9600568084049427,10.328344029314014,-44.53782320746612,58.67750986919853,476200.0,FC,XLP,Consumer Defensive,1.0,490841984
2024-03-21,40.439998626708984,40.90999984741211,40.15999984741211,40.349998474121094,40.349998474121094,61000,12.558502777385701,57.06286828248618,39.30034522197627,39.83213779051625,40.45248859280514,38.952000045776366,37.45151149874759,-0.034206121931148914,-0.21761650778852407,0.18341038585737515,0.9957669709812079,115.07366685021202,-7.5630386791102024,64.84757419960802,543500.0,FC,XLP,Consumer Defensive,1.0,490841984
2024-03-22,40.25,40.2599983215332,39.66999816894531,39.720001220703125,39.720001220703125,40300,13.263977357872358,56.90558321511464,39.40031219837102,39.8524460526184,40.626377161177494,39.06599998474121,37.50562280830493,0.04966668125200613,-0.16415986998041804,0.21382655123242417,0.9782121873396931,159.6819812494588,-14.583368516629198,70.83370464538564,482500.0,FC,XLP,Consumer Defensive,1.0,490841984
2024-03-25,40.0,40.09000015258789,38.88999938964844,38.900001525878906,38.900001525878906,82300,13.322634038795446,52.03979834582035,39.430758771926456,39.84725213764133,40.616788009682224,39.16750011444092,37.718212219199614,0.06455679821684157,-0.11841653634096612,0.18297333455780768,0.9569113386136994,67.89152039537197,-30.989546339132534,70.39159886164309,442200.0,FC,XLP,Consumer Defensive,1.0,490841984
2024-03-26,39.0099983215332,39.58000183105469,38.349998474121094,39.0,39.0,62100,12.524114270556781,46.470103716274416,39.38021046277907,39.81010505482711,40.57657468902014,39.134500122070314,37.69242555512049,0.01007407319514897,-0.0927184144337431,0.10279248762889207,0.9742748689226818,-35.160877833808456,-83.05784472594058,59.82382331608239,359900.0,FC,XLP,Consumer Defensive,1.0,490841984
