Date,Open,High,Low,Close,Adj Close,Volume,ADX,RSI,EMA_20,EMA_50,Upper_BBand,Middle_BBand,Lower_BBand,MACD,MACD_Signal,MACD_Hist,ATR,CCI,Williams_%R,MFI,OBV,Ticker,Corresponding ETF,Sector,SP,Market Cap
2024-03-08,30.010000228881836,30.139999389648438,29.649999618530273,29.920000076293945,29.920000076293945,50400,21.71309665692944,67.9940548832181,29.566666308068292,29.130630207471665,30.03472298117861,29.545499897003175,29.05627681282774,0.23608055019195362,0.20714359044525968,0.02893695974669394,0.2764183067003694,162.55778790182092,-7.6190458890249255,69.43881383209232,819200.0,TY,XLF,Financial Services,1.0,1602016000
2024-03-11,29.860000610351562,30.020000457763672,29.760000228881836,30.010000228881836,30.010000228881836,40400,20.49812469634379,62.22996243060172,29.600317143137403,29.16158588860195,30.078569529562387,29.57599992752075,29.073430325479116,0.23533859228763276,0.2127825908137343,0.022556001473898468,0.2916741255873547,82.7798478005568,-23.809541109750736,65.50374750531684,768800.0,TY,XLF,Financial Services,1.0,1602016000
2024-03-12,30.059999465942383,30.280000686645508,30.040000915527344,30.149999618530273,30.149999618530273,28400,19.369936447228547,63.97131694895286,29.63933457987497,29.194857039201164,30.136758584043335,29.604499912261964,29.072241240480594,0.23925486430934484,0.2180770455128564,0.021177818796488446,0.28941170439410335,80.45335452849477,-15.238091778049851,72.29473903682707,809200.0,TY,XLF,Financial Services,1.0,1602016000
2024-03-13,30.06999969482422,30.280000686645508,30.0,30.059999465942383,30.059999465942383,31300,19.229244993574394,66.55444407093883,29.687969345461187,29.23231361093956,30.216985416883926,29.63799991607666,29.05901441526939,0.250764659918719,0.2246145683940289,0.026150091524690083,0.28802518677764394,147.39371025673657,-14.94263709329118,73.85692898483501,837600.0,TY,XLF,Financial Services,1.0,1602016000
2024-03-14,30.1200008392334,30.1200008392334,29.6200008392334,29.760000228881836,29.760000228881836,57100,18.91748754024759,63.407149392422525,29.723400785507014,29.2647718797632,30.233776030960694,29.686999893188478,29.14022375541626,0.24974508977753018,0.22964067267072916,0.020104417106801026,0.2874520081967771,111.81901567571155,-25.28747223933475,66.67815731479693,806300.0,TY,XLF,Financial Services,1.0,1602016000
2024-03-15,29.850000381469727,29.899999618530273,29.56999969482422,29.719999313354492,29.719999313354492,56700,17.989281838845923,54.20550709114052,29.726886446780806,29.28419259933648,30.21748383785256,29.713999938964843,29.210516040077128,0.22216862030279216,0.22814626219714176,-0.0059776418943496,0.30263400761129294,-2.2220250650905036,-59.770109902637614,54.620626524559235,749200.0,TY,XLF,Financial Services,1.0,1602016000
2024-03-18,29.700000762939453,29.950000762939453,29.399999618530273,29.850000381469727,29.850000381469727,81400,17.295393479213484,53.09901566595574,29.726230529311632,29.301283058709732,30.22011564886306,29.722999858856202,29.225884068849343,0.19484033192236438,0.2214850761421863,-0.02664474421982191,0.30458871590377595,-54.11287406852571,-64.36791184988522,51.68641372434598,692500.0,TY,XLF,Financial Services,1.0,1602016000
2024-03-19,30.059999465942383,30.229999542236328,29.920000076293945,30.1299991607666,30.1299991607666,81800,17.20056793237759,56.226382003723764,29.73801813427907,29.322801385092475,30.22043137903945,29.746499919891356,29.272568460743262,0.18157933270561344,0.21350392745487173,-0.031924594749258295,0.3221181750827334,-64.52380384716857,-48.86361173364776,61.356234112262555,773900.0,TY,XLF,Financial Services,1.0,1602016000
2024-03-20,30.110000610351562,30.489999771118164,29.889999389648438,30.43000030517578,30.43000030517578,26800,16.039818570862714,62.08975229889029,29.775349660611216,29.354456199824796,30.2362284964898,29.789999866485594,29.343771236481388,0.19145646576795983,0.20909443511748935,-0.01763796934952952,0.3262525312030097,103.1228646392358,-17.04560725138391,64.86492553108964,855700.0,TY,XLF,Financial Services,1.0,1602016000
2024-03-21,30.510000228881836,30.729999542236328,30.510000228881836,30.600000381469727,30.600000381469727,40600,15.65298180951327,67.16465701760895,29.837697341045935,29.39663440003464,30.321046211745863,29.844999885559083,29.368953559372304,0.22094483549026833,0.21146451519204515,0.009480320298223183,0.3458059490792037,153.2521040180232,-5.504537389277552,63.85810835573892,882500.0,TY,XLF,Financial Services,1.0,1602016000
2024-03-22,30.639999389648438,30.639999389648438,30.469999313354492,30.520000457763672,30.520000457763672,21600,15.946941009666904,69.6444755406104,29.910297630610106,29.443825222836015,30.46092497990468,29.89349994659424,29.3260749132838,0.25509162884612024,0.22018993792286018,0.034901690923260065,0.34253404107787105,215.25005924702913,-9.774373550665922,63.682176688259965,923100.0,TY,XLF,Financial Services,1.0,1602016000
2024-03-25,30.530000686645508,30.6200008392334,30.450000762939453,30.450000762939453,30.450000762939453,23000,16.065631784619406,67.07716626658733,29.968364566529495,29.486028173225336,30.54896292786468,29.941499996185303,29.334037064505928,0.27255602711878524,0.23066315576204519,0.04189287135674005,0.33021018645044775,149.96411927536204,-15.789405753309538,59.56080209414124,901500.0,TY,XLF,Financial Services,1.0,1602016000
2024-03-26,30.489999771118164,30.600000381469727,30.329999923706055,30.440000534057617,30.440000534057617,27900,16.09506554228501,64.82537659406148,30.0142346804733,29.52383101988079,30.604538277590734,29.98650007247925,29.368461867367763,0.27754888740776096,0.24004030209118835,0.03750858531657261,0.3187666071535547,118.43714532206724,-21.052541004412717,59.56098046100578,878500.0,TY,XLF,Financial Services,1.0,1602016000
2024-03-27,30.540000915527344,30.670000076293945,30.440000534057617,30.6299991607666,30.6299991607666,51000,15.635662365053946,64.49228829304296,30.054783809386095,29.55975923612302,30.64169247381532,30.032500076293946,29.423307678772574,0.27749998319449887,0.24753223831185045,0.029967744882648417,0.31528331076856303,86.58856616237972,-21.80443795595315,55.68290604961179,850600.0,TY,XLF,Financial Services,1.0,1602016000
2024-03-28,30.639999389648438,30.950000762939453,30.639999389648438,30.799999237060547,30.799999237060547,45700,15.437809901118618,67.87019482466809,30.109566223803284,29.601729429246298,30.709932151892538,30.085000038146973,29.460067924401407,0.2894558605632369,0.2559169627621277,0.03353889780110919,0.3091916130162605,98.49912707174903,-7.518826105724484,56.74669111919339,901600.0,TY,XLF,Financial Services,1.0,1602016000
2024-04-01,30.860000610351562,30.8700008392334,30.610000610351562,30.610000610351562,30.610000610351562,26800,16.07858957594011,70.56809942453236,30.175321748875405,29.64872040210176,30.807116339547427,30.142500019073488,29.47788369859955,0.30908561831360615,0.2665506938724234,0.04253492444118273,0.3099637550988742,124.4479394746823,-9.677510653457158,64.65525368146054,947300.0,TY,XLF,Financial Services,1.0,1602016000
2024-04-02,30.489999771118164,30.540000915527344,30.15999984741211,30.389999389648438,30.389999389648438,35900,16.539818501783678,64.09071541377091,30.21671973568266,29.686417665170378,30.861058042169926,30.180000019073486,29.498941995977045,0.305786129311457,0.27439778096023015,0.031388348351226836,0.3063949317976572,88.03763595199825,-21.9354775197595,59.36268941220574,920500.0,TY,XLF,Financial Services,1.0,1602016000
