Ticker
OMI
HLLY
JOUT
SPWR
UNIT
TRML
RLJ
DV
CYRX
INSP
SOR
VTRU
HEES
BYD
SBS
DCBO
TRIP
PEN
KOP
CHGG
IRTC
CYTK
APLS
PZZA
CPRI
PSNYW
FRSH
FWRD
GOOS
RPD
COUR
MIDD
MCS
RRR
TIXT
DIS
ODFL
HAYN
ULTA
FTRE
LULU
GIC
LZ
CTLP
ABUS
TWI
PINC
CEIX
ALGN
PGNY
BAX
RELY
EVH
DASH
SCRM
FIVE
EVRI
TLK
TRDA
DXC
DBRG
STOK
LEG
EPAM
BHC
BMY
DLO
ODP
JBHT
FAST
TXG
ORLY
