Date,Ticker,Action,Open,Close,RSI,ADX,Volume,EMA_20,Market Cap,Sector,Corresponding ETF,SP,Percentage Change,Transaction Price,Duration
2022-03-28,AA,Buy,90.63999938964844,92.45999908447266,63.51206591484766,32.525983991165454,5111300,83.63693603278502,7949121536,Basic Materials,XLB,1.0,,90.63999938964844,2022-03-28 00:00:00
2022-04-06,AA,Sell,89.0,87.7300033569336,54.211274007327916,28.901973325462983,4531400,87.02426871911797,7949121536,Basic Materials,XLB,1.0,-3.2104987337932185,87.7300033569336,9
2022-08-12,ACI,Buy,28.799999237060547,28.06999969482422,68.90772378636852,30.07228922268096,4357000,27.4594666449676,11917701120,Consumer Defensive,XLP,1.0,,28.799999237060547,2022-08-12 00:00:00
2022-08-15,ACI,Sell,27.889999389648438,28.25,56.435973170080885,28.370217032744193,1803200,27.517612649715847,11917701120,Consumer Defensive,XLP,1.0,-1.909719623717192,28.25,3
2022-01-04,ACMR,Buy,29.663333892822266,28.15999984741211,61.1988175998525,31.69328152148978,705900,27.106057743464245,1339385728,Technology,XLK,1.0,,29.663333892822266,2022-01-04 00:00:00
2022-01-05,ACMR,Sell,29.156667709350586,26.649999618530273,52.618900084451994,29.455464539933335,1324800,27.20643318193547,1339385728,Technology,XLK,1.0,-10.158447749600859,26.649999618530273,1
2022-08-01,ADTN,Buy,23.93000030517578,24.610000610351562,74.7514213132456,36.78114499292199,941400,21.97094334089247,439096576,Technology,XLK,1.0,,23.93000030517578,2022-08-01 00:00:00
2022-08-09,ADTN,Sell,23.799999237060547,23.600000381469727,62.36694407875463,29.03321218310222,666800,22.899188989024324,439096576,Technology,XLK,1.0,-1.3790218115236694,23.600000381469727,8
2022-04-18,AEM,Buy,66.30999755859375,65.75,66.8227484559682,30.3252473538118,2743300,62.696095225981466,33981743104,Basic Materials,XLB,1.0,,66.30999755859375,2022-04-18 00:00:00
2022-04-21,AEM,Sell,64.62999725341797,61.7599983215332,60.761813247881,29.783646932715396,3202000,63.2701279727346,33981743104,Basic Materials,XLB,1.0,-6.861709251368941,61.7599983215332,3
2022-03-28,AG,Buy,13.600000381469727,13.359999656677246,63.87324662701078,30.905639248001783,6031400,13.160810942886732,2084082560,Basic Materials,XLB,1.0,,13.600000381469727,2022-03-28 00:00:00
2022-03-30,AG,Sell,13.420000076293945,13.359999656677246,55.993616748678,28.359793163718333,4125800,13.19694494992356,2084082560,Basic Materials,XLB,1.0,-1.7647111622106002,13.359999656677246,2
2022-03-30,AGNC,Buy,13.40999984741211,13.239999771118164,56.26750044317128,32.09089951884091,10503500,13.23941435538013,6971249664,Real Estate,XLRE,1.0,,13.40999984741211,2022-03-30 00:00:00
2022-03-31,AGNC,Sell,13.300000190734863,13.100000381469727,48.08127010712016,30.037872443480843,9427200,13.239470109259944,6971249664,Real Estate,XLRE,1.0,-2.311703724606732,13.100000381469727,1
2022-12-01,AGNC,Buy,10.020000457763672,10.069999694824219,64.36660065678475,30.825514673383044,9424000,9.322303354098132,6971249664,Real Estate,XLRE,1.0,,10.020000457763672,2022-12-01 00:00:00
